case,switch,soft_iou,hard_iou,tex_corr,lesion_change,psnr_brain_target
Mets_013,no_detail,0.975333034992218,0.9764427542686462,0.9810064435005188,-0.02816140651702881,27.533689559992318
Mets_013,no_expo_reduce,0.9815674424171448,0.9828216433525085,0.9862648248672485,-0.016994059085845947,30.518542805630595
Mets_013,no_contour_lock,0.9753804802894592,0.9827783703804016,0.9919160008430481,-0.02173370122909546,29.490892108232302
Mets_013,strength_0.10,0.980003833770752,0.980620265007019,0.9820417761802673,-0.012617349624633789,29.95914009319857
Mets_013,strength_1.00,0.9841439127922058,0.98789381980896,0.987101674079895,-0.04559749364852905,27.66485727081581
Mets_014,default,0.9799172282218933,0.983441948890686,0.9823876619338989,-0.02228391170501709,30.36576474586498
Mets_014,no_clip,0.9795059561729431,0.9850404858589172,0.9676045775413513,-0.08756539225578308,24.25398304194543
Mets_014,clip_0.04,0.9789636731147766,0.9816172122955322,0.9811729192733765,-0.01613059639930725,30.8131051175118
Mets_014,clip_0.15,0.9803648591041565,0.9850404858589172,0.9836675524711609,-0.033107250928878784,29.38086272309746
Mets_014,no_detail,0.9743624329566956,0.9777882695198059,0.9805560111999512,-0.029694318771362305,28.459081559211533
Mets_014,no_expo_reduce,0.9801285266876221,0.983441948890686,0.9853932857513428,-0.018034547567367554,31.392908487542414
Mets_014,no_contour_lock,0.9740073084831238,0.983441948890686,0.9915940761566162,-0.02228391170501709,30.36576474586498
Mets_014,strength_0.10,0.9783650636672974,0.9809816479682922,0.9804770350456238,-0.013501733541488647,30.963160831446757
Mets_014,strength_1.00,0.9823247790336609,0.9877143502235413,0.9866702556610107,-0.04539436101913452,28.214633772874755
Mets_015,default,0.9864999651908875,0.9910238981246948,0.9801385402679443,-0.021438956260681152,30.978212857314155
Mets_015,no_clip,0.9861174821853638,0.9919276833534241,0.9625808596611023,-0.09219151735305786,24.109807820428266
Mets_015,clip_0.04,0.985990047454834,0.9899884462356567,0.9790096282958984,-0.015376031398773193,31.485685805012963
Mets_015,clip_0.15,0.9866772890090942,0.9919276833534241,0.9813727736473083,-0.03212985396385193,29.876097182831103
Mets_015,no_detail,0.9830136895179749,0.9886860251426697,0.9786971211433411,-0.028143465518951416,29.042927696517364
Mets_015,no_expo_reduce,0.9866418242454529,0.9911045432090759,0.9836664795875549,-0.017787933349609375,31.945764664308953
Mets_015,no_contour_lock,0.9808269739151001,0.9910238981246948,0.9902440309524536,-0.021438956260681152,30.978212857314155
Mets_015,strength_0.10,0.985633134841919,0.9894581437110901,0.9783593416213989,-0.01278674602508545,31.6563880300038
Mets_015,strength_1.00,0.9878560900688171,0.994036853313446,0.9841775298118591,-0.04426661133766174,28.568054843636375
Mets_016,default,0.9879400134086609,0.9892333149909973,0.9771470427513123,-0.025703072547912598,29.813080108465265
Mets_016,no_clip,0.988212525844574,0.9901124835014343,0.9647579193115234,-0.12375873327255249,22.320092205464753
Mets_016,clip_0.04,0.9873795509338379,0.9883285760879517,0.9756887555122375,-0.01924663782119751,30.218210671792182
Mets_016,clip_0.15,0.988357663154602,0.9901124835014343,0.9789456129074097,-0.037068963050842285,28.927557971670037
Mets_016,no_detail,0.9850737452507019,0.9864685535430908,0.9725151658058167,-0.03524881601333618,27.852540039347893
Mets_016,no_expo_reduce,0.9879775047302246,0.9892058372497559,0.9808244109153748,-0.02057570219039917,30.848437599144557
Mets_016,no_contour_lock,0.9783368706703186,0.9892333149909973,0.989556610584259,-0.025703072547912598,29.813080108465265
Mets_016,strength_0.10,0.9870173931121826,0.9879451394081116,0.974900484085083,-0.01648736000061035,30.355893385504853
Mets_016,strength_1.00,0.9899905920028687,0.993699312210083,0.9822477698326111,-0.04996633529663086,27.85712273475592
Mets_017,default,0.9846642017364502,0.9894933104515076,0.9801331162452698,-0.020652413368225098,30.30399552398338
Mets_017,no_clip,0.9847788214683533,0.9905999302864075,0.9661734104156494,-0.0908549427986145,23.892986625978217
Mets_017,clip_0.04,0.9839501976966858,0.988304078578949,0.9789836406707764,-0.014762699604034424,30.728886721779133
Mets_017,clip_0.15,0.9851767420768738,0.9905999302864075,0.9815043210983276,-0.03102695941925049,29.36436821047153
Mets_017,no_detail,0.9805914759635925,0.9863483905792236,0.9795893430709839,-0.028053760528564453,28.436872125873865
Mets_017,no_expo_reduce,0.9847797751426697,0.9895507097244263,0.9837358593940735,-0.016951441764831543,31.255056616105147
Mets_017,no_contour_lock,0.9783795475959778,0.9894933104515076,0.9900324940681458,-0.020652413368225098,30.30399552398338
Mets_017,strength_0.10,0.9835073947906494,0.987710177898407,0.9783563613891602,-0.012248694896697998,30.871299574281657
Mets_017,strength_1.00,0.9868373870849609,0.9930779933929443,0.9842923283576965,-0.042762309312820435,28.222669058463797
Mets_018,default,0.9868528246879578,0.9911766648292542,0.9804489612579346,-0.01966559886932373,31.09348612396206
Mets_018,no_clip,0.9862524271011353,0.9921625256538391,0.9648730754852295,-0.08708611130714417,24.232398651979786
Mets_018,clip_0.04,0.9862460494041443,0.9900679588317871,0.9792680740356445,-0.013677507638931274,31.633349419068388
Mets_018,clip_0.15,0.9869893789291382,0.9921625256538391,0.9816412329673767,-0.030221790075302124,29.933350373533383
Mets_018,no_detail,0.9833253026008606,0.988538920879364,0.9782206416130066,-0.02628302574157715,29.172828621658773
Mets_018,no_expo_reduce,0.9869834780693054,0.9911766648292542,0.9836766719818115,-0.016413241624832153,32.06868335999614
Mets_018,no_contour_lock,0.9809998869895935,0.9911766648292542,0.9910438060760498,-0.01966559886932373,31.09348612396206
Mets_018,strength_0.10,0.9858118891716003,0.9891820549964905,0.9785640835762024,-0.01112067699432373,31.814831819893136
Mets_018,strength_1.00,0.9881487488746643,0.9941666722297668,0.9847379326820374,-0.04219013452529907,28.582187990006446
Mets_019,default,0.9865218997001648,0.9897670149803162,0.9820276498794556,-0.018376469612121582,30.569973591345402
Mets_019,no_clip,0.9867554306983948,0.9911050200462341,0.9636927247047424,-0.08845365047454834,23.950124771932792
Mets_019,clip_0.04,0.9857792258262634,0.9887707829475403,0.9811959266662598,-0.012542784214019775,30.999520161345046
Mets_019,clip_0.15,0.9871045351028442,0.9911050200462341,0.982872486114502,-0.0286405086517334,29.600448205378264
Mets_019,no_detail,0.9822402596473694,0.9869510531425476,0.9810729026794434,-0.02368694543838501,28.67437262897022
Mets_019,no_expo_reduce,0.9865929484367371,0.9898099303245544,0.9847031831741333,-0.015371501445770264,31.420525930462688
Mets_019,no_contour_lock,0.9807991981506348,0.9897670149803162,0.9912769198417664,-0.018376469612121582,30.569973591345402
Mets_019,strength_0.10,0.985338568687439,0.9883260130882263,0.980713427066803,-0.010048508644104004,31.14006190591619
Mets_019,strength_1.00,0.988536536693573,0.9937072992324829,0.9848242402076721,-0.04025822877883911,28.40779591524081
Mets_020,default,0.9680402278900146,0.9813065528869629,0.9815793633460999,-0.023150235414505005,32.65095293531038
Mets_020,no_clip,0.9494263529777527,0.9798349738121033,0.9641498327255249,-0.0686776340007782,26.492342344213974
Mets_020,clip_0.04,0.9694616794586182,0.979606568813324,0.9797513484954834,-0.016885817050933838,33.49416586487559
Mets_020,clip_0.15,0.9604542851448059,0.9799101948738098,0.982927143573761,-0.03417351841926575,30.986070143919243
Mets_020,no_detail,0.9584228992462158,0.97505784034729,0.9803324937820435,-0.02994823455810547,30.76537885614247
Mets_020,no_expo_reduce,0.9692861437797546,0.9816314578056335,0.9854862093925476,-0.01963105797767639,33.82107700931064
Mets_020,no_contour_lock,0.9648256897926331,0.9813065528869629,0.9906541109085083,-0.023145616054534912,32.650954797053835
Mets_020,strength_0.10,0.969308614730835,0.978798508644104,0.9785686731338501,-0.014212727546691895,33.787829781182296
Mets_020,strength_1.00,0.9482885003089905,0.9730743765830994,0.9880138635635376,-0.04678335785865784,29.20698041607214
Mets_021,default,0.9872334003448486,0.9898592829704285,0.9798447489738464,-0.024941742420196533,30.540755274296046
Mets_021,no_clip,0.987342357635498,0.9907627701759338,0.9663444757461548,-0.11872559785842896,22.842075743605918
Mets_021,clip_0.04,0.9866262078285217,0.9887543320655823,0.9787479043006897,-0.018508076667785645,31.024968477658383
Mets_021,clip_0.15,0.9876377582550049,0.9907627701759338,0.9810585379600525,-0.03632700443267822,29.499140393952118
Mets_021,no_detail,0.9840242862701416,0.9868618845939636,0.9777141213417053,-0.03313702344894409,28.5954126004116
Mets_021,no_expo_reduce,0.9873080849647522,0.9898592829704285,0.9826338291168213,-0.02080446481704712,31.46120077433768
Mets_021,no_contour_lock,0.9798927307128906,0.9898592829704285,0.9907135963439941,-0.024941742420196533,30.540755274296046
Mets_021,strength_0.10,0.9862321019172668,0.988213837146759,0.9781194925308228,-0.015761613845825195,31.19039033978676
Mets_021,strength_1.00,0.989163875579834,0.9940568804740906,0.9838506579399109,-0.049362897872924805,28.260493943438483
Mets_022,default,0.9842361807823181,0.991798460483551,0.9822225570678711,-0.01993301510810852,31.364909617870417
Mets_022,no_clip,0.9842268228530884,0.9929879307746887,0.9722256064414978,-0.08718940615653992,24.70189706427722
Mets_022,clip_0.04,0.983388364315033,0.9907233715057373,0.9809345602989197,-0.013769358396530151,31.88162420045835
Mets_022,clip_0.15,0.9848362803459167,0.9929879307746887,0.9836567044258118,-0.030809223651885986,30.219031065775592
Mets_022,no_detail,0.9793044328689575,0.9891547560691833,0.980094850063324,-0.026060640811920166,29.40027368841692
Mets_022,no_expo_reduce,0.9844127297401428,0.9917986392974854,0.9847928881645203,-0.01681387424468994,32.26765891866145
Mets_022,no_contour_lock,0.9797452688217163,0.991798460483551,0.9909364581108093,-0.01993301510810852,31.364909617870417
Mets_022,strength_0.10,0.9828711748123169,0.9901191592216492,0.9802066683769226,-0.011137932538986206,32.05071007478575
