case,brain_voxels,core_voxels,support_voxels,seg_voxels_tri,seg_voxels_near,core_brain_frac,seg_brain_frac,dice_tri,recall_tri,precision_tri,dice_near,recall_near,precision_near,dice_support,recall_support,seg_voxels_max,dice_max,recall_max,precision_max,dice_support_max,recall_support_max
Mets_066,49206,11171,72531,376,372,0.22702515953339023,0.007641344551477462,0.012124361305966919,0.18617021276595744,0.006266225046996688,0.01247509313003552,0.1935483870967742,0.00644526004833945,0.010314510266503903,1.0,712,0.01598922830934949,0.13342696629213482,0.008504162563781219,0.0194421309886269,1.0
Mets_067,45842,12767,68791,0,1,0.27850006544217093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,0.00359262730396751,0.6216216216216216,0.00180151954257069,0.0010751438368106004,1.0
Mets_068,53037,12887,78487,0,0,0.24298131493108585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0.0006199628022318661,0.23529411764705882,0.00031039031582214634,0.0004330989503719556,1.0
Mets_069,39843,9423,60821,11,15,0.2365032753557714,0.0002760836282408453,0.0,0.0,0.0,0.0,0.0,0.0,0.00036165176223040504,1.0,117,0.00440251572327044,0.1794871794871795,0.002228589621139764,0.003839968492566215,1.0
Mets_070,39169,9548,60585,3,3,0.24376420128162576,7.65911818019352e-05,0.00041880431368443097,0.6666666666666666,0.00020946795140343527,0.00020940215684221548,0.3333333333333333,0.00010473397570171764,9.902951079421667e-05,1.0,37,0.004590505998956703,0.5945945945945946,0.002304147465437788,0.0012206789614331432,1.0
Mets_071,37909,8727,58717,60,61,0.23020918515392122,0.0015827376084834735,0.013656538067599864,1.0,0.006875214850464077,0.013654984069185253,0.9836065573770492,0.006875214850464077,0.002041614917399663,1.0,129,0.027777777777777776,0.9534883720930233,0.014094190443451358,0.004384325187778268,1.0
Mets_072,36146,9315,55782,0,0,0.25770486360869804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.0,0.0,0.0,0.0005734972579662354,1.0
Mets_073,49872,11122,74556,0,0,0.22301090792428618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,0.0023322569070685323,0.5,0.0011688545225678835,0.0006972191681639001,1.0
Mets_074,39086,9325,59754,1,1,0.23857647239420765,2.5584608299646932e-05,0.0,0.0,0.0,0.0,0.0,0.0,3.347000251025019e-05,1.0,20,0.0008560727661851257,0.2,0.0004289544235924933,0.0006691872720580855,1.0
Mets_075,39830,8745,61258,3,3,0.21955812201857897,7.532011046949536e-05,0.0,0.0,0.0,0.0,0.0,0.0,9.794159416268099e-05,1.0,40,0.0013659647125782584,0.15,0.0006861063464837049,0.00130509967698783,1.0
Mets_076,42898,9293,64886,60,61,0.21663014592754906,0.0013986666045037064,0.010050251256281407,0.7833333333333333,0.005057570214139675,0.010690613641223007,0.819672131147541,0.0053803938448294415,0.001847688849197795,1.0,159,0.02031316123571731,0.6037735849056604,0.010330356182072528,0.004888923053270812,1.0
Mets_077,45038,11799,67581,483,484,0.2619787734801723,0.010724277276966118,0.07458068718449763,0.94824016563147,0.03881684888549877,0.07490026866400716,0.9504132231404959,0.03898635477582846,0.014192524682651622,1.0,935,0.10931364850007853,0.7443850267379679,0.05898804983473176,0.02729289509019791,1.0
Mets_078,37627,9006,57994,0,0,0.23934940335397453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0013315579227696406,1.0,0.0006662225183211193,0.00020689655172413793,1.0
Mets_079,49536,11702,73633,79,79,0.23623223514211886,0.0015947997416020671,0.0071301247771836,0.5316455696202531,0.0035891300632370535,0.007639419404125287,0.569620253164557,0.0038454964963254143,0.0021434773171261122,1.0,258,0.029264214046822744,0.6782945736434108,0.014954708596821057,0.006983259124927258,1.0
Mets_080,42978,10767,65001,29,35,0.2505235236632696,0.0006747638326585695,0.001852537977028529,0.3448275862068966,0.0009287638153617535,0.0022218107757822625,0.34285714285714286,0.0011145165784341043,0.0008918960479778564,1.0,142,0.010083417361811349,0.3873239436619718,0.0051082009844896446,0.004359639562193943,1.0
Mets_081,45926,10115,68879,0,0,0.2202456125070766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.00019755037534571315,0.1111111111111111,9.886307464162135e-05,0.00026129369411218207,1.0
Mets_082,41620,9574,63649,19,20,0.2300336376741951,0.0004565112926477655,0.0,0.0,0.0,0.0,0.0,0.0,0.0005968461393478671,1.0,157,0.0006165861679169664,0.01910828025477707,0.0003133486526007938,0.0049211672883427895,1.0
Mets_083,41994,10423,63606,579,600,0.24820212411296852,0.013787683954850694,0.01054353753862934,0.1001727115716753,0.0055646167130384725,0.010160573346638845,0.09333333333333334,0.005372733378106112,0.01804159850432344,1.0,2442,0.025495530509133307,0.06715806715806716,0.015734433464453614,0.07394622093023256,1.0
Mets_084,44777,10796,67127,339,328,0.24110592491680996,0.007570851106594904,0.049753030983385724,0.8171091445427728,0.025657650981845127,0.05016181229773463,0.850609756097561,0.02584290477954798,0.010049506418047608,1.0,828,0.08551273227804543,0.6002415458937198,0.04603556872915895,0.024369067765433006,1.0
Mets_085,38235,9860,59111,0,1,0.25787890676082126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0.0006077180188392585,0.23076923076923078,0.00030425963488843813,0.00043975373790677223,1.0
Mets_086,48168,12368,72293,703,727,0.25676797874107293,0.01459475170237502,0.054318720832377015,0.5049786628733998,0.028703104786545926,0.05177548682703322,0.46629986244841815,0.027409443725743856,0.019261329387911665,1.0,1036,0.0808713816771113,0.5231660231660231,0.04382276843467012,0.028256215139985545,1.0
Mets_087,42330,11325,64060,9,8,0.2675407512402551,0.00021261516654854713,0.0010587612493382743,0.6666666666666666,0.0005298013245033113,0.0012353304508956147,0.875,0.0006181015452538631,0.0002809471039036039,1.0,44,0.0042220072125956545,0.5454545454545454,0.002119205298013245,0.0013727692499688007,1.0
Mets_088,38763,9780,59907,2,2,0.2523024533704822,5.159559373629492e-05,0.0,0.0,0.0,0.0,0.0,0.0,6.676793136256656e-05,1.0,305,0.004164600892414477,0.06885245901639345,0.002147239263803681,0.010130870922739654,1.0
Mets_089,47962,11360,71572,32,34,0.23685417622284308,0.0006671948625995579,0.0,0.0,0.0,0.0,0.0,0.0,0.0008938048153734428,1.0,85,0.0,0.0,0.0,0.00237241302315196,1.0
Mets_090,48037,11544,71455,3,3,0.2403147573745238,6.24518600245644e-05,0.0,0.0,0.0,0.0,0.0,0.0,8.396540625262392e-05,1.0,38,0.0,0.0,0.0,0.0010630411368945211,1.0
Mets_091,36008,8046,55658,1,1,0.22345034436791825,2.7771606309708954e-05,0.0,0.0,0.0,0.0,0.0,0.0,3.593309258161303e-05,1.0,14,0.0,0.0,0.0,0.0005029458255496479,1.0
