case,brain_voxels,core_voxels,seg_voxels,segmax_voxels,core_brain_frac,seg_brain_frac,segmax_brain_frac,recall_core_vs_seg,precision_core_vs_seg,paper_signed_change_core,paper_ratio_core,paper_abschange_core,texture_corr_core,signed_change_seg,abschange_seg,abschange_outside_seg,ratio_seg,texture_corr_seg,signed_change_segmax,abschange_segmax,abschange_outside_segmax,ratio_segmax,texture_corr_segmax
Mets_056,44190,10966,15,46,0.24815569133288073,0.00033944331296673454,0.001040959493097986,0.6666666666666666,0.0009119095385737735,-0.023732177913188934,0.5870891672593926,0.03339436650276184,0.9905287623405457,-0.07789833098649979,0.07789833098649979,0.02300863154232502,0.2953674520486523,0.9961299896240234,-0.039478398859500885,0.04547152668237686,0.023003876209259033,0.5058962803238034,0.9958050847053528
Mets_057,38725,10528,0,20,0.27186571981923824,0.0,0.0005164622336991608,0.0,0.0,-0.020739706233143806,0.5825389911669943,0.031204821541905403,0.990752100944519,nan,nan,0.021719565615057945,nan,nan,-0.024980107322335243,0.02636854723095894,0.021717162802815437,0.8236010354532397,0.962101399898529
Mets_058,50301,11773,6,25,0.234051012902328,0.00011928192282459593,0.0004970080117691497,0.0,0.0,-0.01717567630112171,0.7758051500611262,0.02312835305929184,0.989418625831604,-0.015424857847392559,0.025991490110754967,0.019155893474817276,0.737006358357684,0.9994631409645081,-0.02697843499481678,0.03711716830730438,0.019147777929902077,0.5158738880986763,0.9990932941436768
Mets_059,42110,9393,1,37,0.2230586559012111,2.3747328425552126e-05,0.0008786511517454287,1.0,0.00010646225912913872,-0.02274239994585514,0.7590934218008454,0.029621249064803123,0.987899899482727,-0.07175558805465698,0.07175558805465698,0.02407589927315712,0.3355264715386104,nan,-0.03915289789438248,0.0394304022192955,0.024063529446721077,0.6102785691327655,0.992974042892456
Mets_060,48403,12410,17,125,0.2563890667933806,0.0003512178997169597,0.0025824845567423505,0.0,0.0,-0.022175434976816177,0.6251502174448035,0.03318148851394653,0.9905007481575012,-0.0412982702255249,0.0412982702255249,0.023926300927996635,0.5793535854489298,0.9974584579467773,-0.024485180154442787,0.029127925634384155,0.023918453603982925,0.821151972996948,0.9915468096733093
Mets_061,44564,11897,71,174,0.26696436585584776,0.001593214253657661,0.003904496903330042,0.0,0.0,-0.021477175876498222,0.6445081935563978,0.03309272602200508,0.9903227090835571,-0.04357994720339775,0.05125093460083008,0.02442641369998455,0.4766042588341195,0.995238184928894,-0.024248789995908737,0.03921729326248169,0.024409692734479904,0.6224216590141909,0.9924127459526062
Mets_062,39161,10005,342,740,0.25548377212022166,0.00873317841730293,0.018896350961415693,0.827485380116959,0.02828585707146427,-0.017537057399749756,0.8137449014934941,0.02125818468630314,0.9900766015052795,-0.05583798140287399,0.058681175112724304,0.017954640090465546,0.3059693343900385,0.9949930310249329,-0.031390946358442307,0.036941710859537125,0.017948197200894356,0.4858518131209055,0.9930894374847412
Mets_063,38958,11198,13,152,0.28743775347810463,0.000333692694696853,0.0039016376610708967,0.23076923076923078,0.0002679049830326844,-0.021661439910531044,0.6440011043135379,0.02940254658460617,0.9904240369796753,-0.03955254331231117,0.04110456258058548,0.021937567740678787,0.5337015251693822,0.9934850931167603,-0.014825928024947643,0.023393329232931137,0.02193828672170639,0.9378009646794325,0.9926459193229675
Mets_064,46415,12378,20,373,0.26668102983949155,0.00043089518474631047,0.00803619519551869,0.1,0.00016157699143641945,-0.018157722428441048,0.6956688950906464,0.021036585792899132,0.9915672540664673,-0.01987931877374649,0.021613601595163345,0.016339540481567383,0.7559841616227356,0.998493492603302,-0.013832942582666874,0.015948062762618065,0.016328690573573112,1.0238667113755804,0.9912582635879517
Mets_065,53660,13597,7,49,0.25339172568020873,0.00013045098770033545,0.0009131569139023481,0.2857142857142857,0.0001470912701331176,-0.018586628139019012,0.6669948025245277,0.029572386294603348,0.9919097423553467,-0.0229752529412508,0.0229752529412508,0.022219868376851082,0.967121817273077,0.9953663945198059,-0.009525238536298275,0.015651028603315353,0.02222597226500511,1.4200965845974487,0.9964033961296082
